epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,846.439,1.00378,1.15491,1.39665,0.68626,0.49848,0.55912,0.36475,1.10729,1.04395,1.61052,0.00999056,0.00333019,0.00999056,0.00333019,0.00999056,0.00333019,0.00999056,0.00333019
2,1634.01,1.08149,1.10443,1.45301,0.67484,0.45446,0.53304,0.34209,1.14917,1.2457,1.67449,0.0195947,0.00653158,0.0195947,0.00653158,0.0195947,0.00653158,0.0195947,0.00653158
3,2373.88,1.14276,1.19537,1.51962,0.54222,0.42961,0.42946,0.25259,1.33927,1.81753,1.88409,0.0288029,0.00960098,0.0288029,0.00960098,0.0288029,0.00960098,0.0288029,0.00960098
4,3113.58,1.16549,1.22835,1.55168,0.68336,0.45872,0.53267,0.3393,1.1842,1.1126,1.71407,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3851.87,1.11041,1.16344,1.50637,0.67009,0.47529,0.54117,0.3483,1.14213,1.0742,1.66938,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4591.59,1.07235,1.11317,1.47994,0.69198,0.48028,0.55729,0.36658,1.1065,1.04307,1.62244,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5329.56,1.05646,1.08615,1.46059,0.71607,0.48432,0.56849,0.37716,1.06925,1.01084,1.58568,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6070.36,1.03871,1.06002,1.445,0.70612,0.49991,0.5842,0.39011,1.04775,0.96286,1.56066,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6810.96,1.01208,1.0343,1.43131,0.70299,0.50478,0.58697,0.39811,1.0242,0.98187,1.53938,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7552.53,1.0084,1.02455,1.42437,0.71748,0.50999,0.59369,0.4062,1.00773,0.94096,1.52399,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
